cliente;posto;estado;uf;pais;lote;porte;polo_tecnico;chamados_hardware;qtde_kit;total_coletas;mesas;latitude;longitude
PPT;ADAMANTINA;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;DRACENA;4;1;5001;1;-2.116.866.517;-5.110.762.975
PPT;AGUAI;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;AGUAI;3;1;3322;1;-2.220.592.036;-4.669.793.840
PPT;AGUDOS;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;AVARE;2;1;5179;1;-2.224.719.836;-4.889.884.476
PPT;ALESP;SÃO PAULO;SP;BRASIL;REGIÃO 6;B;FERRAZ;2;3;28655;3;-2.335.801.646;-4.666.582.082
PPT;ALVARES MACHADO;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;PIRAPOZINHO;2;1;2862;1;-2.220.764.150;-5.114.722.400
PPT;AMERICANA;SÃO PAULO;SP;BRASIL;REGIÃO 3;B;SANTA BARBARA;18;5;33971;5;-2.227.392.463;-4.773.306.032
PPT;AMERICO BRASILIENSE;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;MATAO;2;1;5335;1;-2.117.297.099;-4.881.052.092
PPT;AMPARO;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;BRAGANÇA;3;1;8156;1;-2.227.011.100;-4.667.644.400
PPT;ANDRADINA;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;DRACENA;13;2;12799;2;-2.008.965.050;-5.113.742.765
PPT;ANGATUBA;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;ITAPEVA;5;1;3202;1;-2.334.938.938;-4.884.110.675
PPT;APARECIDA;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;GUARATINGUETA;1;1;4117;1;-2.228.515.520;-4.552.340.924
PPT;APIAI;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;ITAPEVA;10;1;3904;1;-2.445.076.527;-4.888.461.582
PPT;ARACARIGUAMA;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;VOTORANTIM;0;1;3484;1;-2.334.388.277;-4.770.613.084
PPT;ARACATUBA;SÃO PAULO;SP;BRASIL;REGIÃO 1;B;BIRIGUI;13;4;26020;4;-2.112.079.920;-5.004.390.225
PPT;ARACOIABA DA SERRA;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;VOTORANTIM;1;1;4552;1;-2.335.045.367;-4.776.168.158
PPT;ARARAQUARA;SÃO PAULO;SP;BRASIL;REGIÃO 1;B;MATAO;5;3;30990;4;-2.117.886.713;-4.881.773.096
PPT;ARARAS;SÃO PAULO;SP;BRASIL;REGIÃO 3;B;MOGI GUAÇU;12;3;16585;3;-2.223.569.192;-4.773.838.766
PPT;ARTHUR NOGUEIRA;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;SANTA BARBARA;0;1;9501;1;-2.225.727.370;-4.771.726.790
PPT;ARUJA;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;FERRAZ;4;2;14106;2;-2.333.962.660;-4.663.175.449
PPT;ASSIS;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;MARILIA;3;2;11897;2;-2.226.620.892;-5.004.206.230
PPT;ATIBAIA;SÃO PAULO;SP;BRASIL;REGIÃO 3;B;BRAGANÇA;6;2;17546;2;-2.331.177.393;-4.665.547.861
PPT;AVARE;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;AVARE;8;2;11639;2;-2.331.045.215;-4.889.259.103
PPT;BARIRI;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;JAU;3;1;3923;1;-2.220.746.355;-4.887.394.852
PPT;BARRETOS;SÃO PAULO;SP;BRASIL;REGIÃO 1;B;OLIMPIA;9;2;18057;2;-2.005.531.437;-4.885.697.509
PPT;BASTOS;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;MARILIA;1;1;2534;1;-2.119.222.474;-5.007.317.727
PPT;BATATAIS;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;GUARA;0;1;10174;1;-2.008.928.670;-4.775.921.490
PPT;BAURU;SÃO PAULO;SP;BRASIL;REGIÃO 2;A;RESIDENTE;22;9;52946;9;-2.223.218.102;-4.990.705.863
PPT;BEBEDOURO;SÃO PAULO;SP;BRASIL;REGIÃO 1;B;CATANDUVA;9;2;11736;2;-2.009.490.770;-4.884.790.830
PPT;BERTIOGA;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;CUBATAO;1;1;8989;1;-2.338.485.680;-4.661.395.860
PPT;BIRIGUI;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;BIRIGUI;5;2;17968;2;-2.112.908.491;-5.003.414.400
PPT;BIRITIBA MIRIM;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;FERRAZ;3;1;5382;1;-2.335.697.765;-4.660.407.456
